control_dgp,tau_shape,n_per_arm,lambda,rank,crit_wald,power_wald,crit_tmax,power_tmax,power_rw_any
phase1_empirical,diffuse_PL,3250,74.23043291639169,6,12.591587243743978,0.9999999818998305,2.584776622879401,0.9999,1
phase1_empirical,diffuse_PL,3300,75.3724395766439,6,12.591587243743978,0.9999999874466655,2.584776622879401,0.99995,1
phase1_empirical,diffuse_PL,3350,76.51444623689613,6,12.591587243743978,0.9999999913050479,2.584776622879401,1,1
phase1_empirical,diffuse_PL,3400,77.65645289714828,6,12.591587243743978,0.999999993985245,2.584776622879401,1,1
phase1_empirical,diffuse_PL,3450,78.79845955740045,6,12.591587243743978,0.999999995844512,2.584776622879401,1,1
phase1_empirical,diffuse_PL,3500,79.94046621765263,6,12.591587243743978,0.99999999713259,2.584776622879401,0.99995,1
phase1_empirical,diffuse_PL,3550,81.0824728779048,6,12.591587243743978,0.9999999980237986,2.584776622879401,1,1
phase1_empirical,diffuse_PL,3600,82.22447953815696,6,12.591587243743978,0.9999999986396332,2.584776622879401,1,1
phase1_empirical,diffuse_PL,3650,83.36648619840915,6,12.591587243743978,0.9999999990646511,2.584776622879401,1,1
phase1_empirical,diffuse_PL,3700,84.50849285866136,6,12.591587243743978,0.9999999993576183,2.584776622879401,1,1
phase1_empirical,diffuse_PL,3750,85.65049951891353,6,12.591587243743978,0.99999999955932,2.584776622879401,1,1
phase1_empirical,diffuse_PL,3800,86.79250617916577,6,12.591587243743978,0.9999999996980236,2.584776622879401,0.99995,1
phase1_empirical,diffuse_PL,3850,87.93451283941792,6,12.591587243743978,0.9999999997932952,2.584776622879401,1,1
phase1_empirical,diffuse_PL,3900,89.0765194996701,6,12.591587243743978,0.9999999998586605,2.584776622879401,1,1
phase1_empirical,diffuse_PL,3950,90.21852615992233,6,12.591587243743978,0.9999999999034571,2.584776622879401,1,1
phase1_empirical,diffuse_PL,4000,91.36053282017451,6,12.591587243743978,0.9999999999341238,2.584776622879401,1,1
phase1_empirical,pilot_proportional,100,1.5756786831142842,6,12.591587243743978,0.12289746637193932,2.5761263827670615,0.1298,0.13
phase1_empirical,pilot_proportional,150,2.3635180246714267,6,12.591587243743978,0.16717780772250168,2.5761263827670615,0.1727,0.1712
phase1_empirical,pilot_proportional,200,3.1513573662285683,6,12.591587243743978,0.21519640784589866,2.5761263827670615,0.2251,0.214
phase1_empirical,pilot_proportional,250,3.939196707785711,6,12.591587243743978,0.2658135912214207,2.5761263827670615,0.2732,0.2642
phase1_empirical,pilot_proportional,300,4.727036049342853,6,12.591587243743978,0.3179375688587891,2.5761263827670615,0.32615,0.3224
phase1_empirical,pilot_proportional,350,5.514875390899991,6,12.591587243743978,0.37056470399616037,2.5761263827670615,0.3755,0.368
phase1_empirical,pilot_proportional,400,6.302714732457137,6,12.591587243743978,0.42280606091632955,2.5761263827670615,0.4232,0.4126
phase1_empirical,pilot_proportional,450,7.0905540740142685,6,12.591587243743978,0.47390226925161927,2.5761263827670615,0.47055,0.4696
phase1_empirical,pilot_proportional,500,7.878393415571422,6,12.591587243743978,0.5232288854050497,2.5761263827670615,0.51495,0.5036
phase1_empirical,pilot_proportional,550,8.666232757128562,6,12.591587243743978,0.5702943891967416,2.5761263827670615,0.56325,0.5628
phase1_empirical,pilot_proportional,600,9.454072098685707,6,12.591587243743978,0.6147327845574492,2.5761263827670615,0.6058,0.607
phase1_empirical,pilot_proportional,650,10.241911440242834,6,12.591587243743978,0.6562925308979112,2.5761263827670615,0.64475,0.6436
phase1_empirical,pilot_proportional,700,11.029750781799981,6,12.591587243743978,0.6948232565401993,2.5761263827670615,0.6835,0.6646
phase1_empirical,pilot_proportional,750,11.817590123357126,6,12.591587243743978,0.7302614258751663,2.5761263827670615,0.719,0.7164
phase1_empirical,pilot_proportional,800,12.605429464914273,6,12.591587243743978,0.7626158669320792,2.5761263827670615,0.74745,0.734
phase1_empirical,pilot_proportional,850,13.393268806471411,6,12.591587243743978,0.7919538276144573,2.5761263827670615,0.77965,0.7756
phase1_empirical,pilot_proportional,900,14.181108148028537,6,12.591587243743978,0.8183880231192885,2.5761263827670615,0.7945,0.7956
phase1_empirical,pilot_proportional,950,14.968947489585693,6,12.591587243743978,0.8420649660477305,2.5761263827670615,0.825,0.8256
phase1_empirical,pilot_proportional,1000,15.756786831142843,6,12.591587243743978,0.8631547336276001,2.5761263827670615,0.84045,0.8496
phase1_empirical,pilot_proportional,1050,16.544626172699978,6,12.591587243743978,0.8818422206756986,2.5761263827670615,0.8676,0.8646
phase1_empirical,pilot_proportional,1100,17.332465514257123,6,12.591587243743978,0.8983198487706638,2.5761263827670615,0.8807,0.8804
