synthetic_group_id,sampled_from_unique_group,group_members,phase,condorcet_exists,condorcet_winner,group_outcome_rule,group_outcome,outcome_matches_condorcet
61,61,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,679457c68ee8,455dbb067ce7",before,TRUE,food_pantry,plurality,NA,FALSE
61,61,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,679457c68ee8,455dbb067ce7",after,TRUE,food_pantry,plurality,NA,FALSE
62,62,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,679457c68ee8,8948e22761d2",before,TRUE,community_clinic,plurality,community_clinic,TRUE
62,62,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,679457c68ee8,8948e22761d2",after,TRUE,community_clinic,plurality,community_clinic,TRUE
63,63,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,679457c68ee8,f302a80daf1f",before,TRUE,food_pantry,plurality,community_clinic,FALSE
63,63,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,679457c68ee8,f302a80daf1f",after,TRUE,food_pantry,plurality,community_clinic,FALSE
64,64,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,116a3ebe9814,ec338cde8cdc",before,TRUE,community_clinic,plurality,community_clinic,TRUE
64,64,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,116a3ebe9814,ec338cde8cdc",after,TRUE,community_clinic,plurality,community_clinic,TRUE
65,65,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,116a3ebe9814,8d4b92f5ba5d",before,TRUE,community_clinic,plurality,community_clinic,TRUE
65,65,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,116a3ebe9814,8d4b92f5ba5d",after,TRUE,community_clinic,plurality,community_clinic,TRUE
66,66,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,116a3ebe9814,60d929ceffa5",before,TRUE,community_clinic,plurality,community_clinic,TRUE
66,66,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,116a3ebe9814,60d929ceffa5",after,TRUE,community_clinic,plurality,community_clinic,TRUE
67,67,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,116a3ebe9814,84b4783bae78",before,TRUE,community_clinic,plurality,community_clinic,TRUE
67,67,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,116a3ebe9814,84b4783bae78",after,TRUE,community_clinic,plurality,community_clinic,TRUE
68,68,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,116a3ebe9814,455dbb067ce7",before,TRUE,community_clinic,plurality,community_clinic,TRUE
68,68,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,116a3ebe9814,455dbb067ce7",after,TRUE,community_clinic,plurality,community_clinic,TRUE
69,69,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,116a3ebe9814,8948e22761d2",before,TRUE,community_clinic,plurality,community_clinic,TRUE
69,69,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,116a3ebe9814,8948e22761d2",after,TRUE,community_clinic,plurality,community_clinic,TRUE
